campaign_key,contact_type,previous_outcome,days_since_previous_contact,was_previously_contacted,previous_contacts_count
1,telephone,nonexistent,999,False,0
2,cellular,nonexistent,999,False,0
3,telephone,failure,999,False,1
4,telephone,success,6,True,1
5,cellular,failure,999,False,1
6,cellular,success,4,True,1
7,cellular,success,3,True,1
8,cellular,success,5,True,1
9,cellular,success,1,True,1
10,cellular,success,6,True,1
11,cellular,success,0,True,1
12,telephone,success,0,True,2
13,cellular,success,1,True,2
14,cellular,success,10,True,1
15,cellular,success,7,True,1
16,cellular,failure,999,False,2
17,cellular,failure,10,True,2
18,cellular,success,8,True,1
19,cellular,success,5,True,2
20,cellular,success,1,True,3
21,telephone,failure,999,False,2
22,cellular,success,9,True,1
23,telephone,success,5,True,1
24,cellular,failure,11,True,2
25,cellular,success,2,True,1
26,cellular,failure,5,True,3
27,cellular,success,11,True,1
28,cellular,failure,999,False,3
29,cellular,failure,5,True,2
30,cellular,success,2,True,2
31,telephone,success,2,True,1
32,cellular,success,3,True,2
33,cellular,failure,9,True,2
34,telephone,success,3,True,2
35,cellular,success,12,True,1
36,cellular,success,6,True,2
37,cellular,failure,7,True,2
38,cellular,failure,12,True,2
39,telephone,success,10,True,1
40,telephone,success,12,True,1
41,cellular,failure,6,True,2
42,cellular,failure,3,True,3
43,cellular,failure,3,True,2
44,cellular,success,13,True,1
45,cellular,success,4,True,3
46,cellular,failure,3,True,4
47,cellular,success,14,True,1
48,cellular,failure,14,True,2
49,cellular,failure,13,True,2
50,cellular,success,15,True,1
51,cellular,success,4,True,2
52,telephone,failure,6,True,2
53,cellular,success,2,True,3
54,telephone,success,3,True,1
55,cellular,failure,10,True,4
56,cellular,failure,15,True,2
57,cellular,failure,15,True,3
58,telephone,success,4,True,2
59,telephone,failure,999,False,3
60,cellular,failure,6,True,4
61,telephone,success,9,True,1
62,cellular,success,16,True,1
63,telephone,failure,14,True,2
64,cellular,failure,16,True,2
65,telephone,success,7,True,1
66,cellular,failure,6,True,3
67,cellular,failure,8,True,3
68,telephone,success,6,True,2
69,cellular,failure,8,True,2
70,telephone,success,4,True,1
71,cellular,success,3,True,3
72,cellular,failure,7,True,3
73,telephone,success,13,True,1
74,cellular,failure,7,True,4
75,cellular,success,7,True,2
76,cellular,failure,9,True,3
77,telephone,failure,7,True,3
78,cellular,failure,4,True,2
79,cellular,success,6,True,3
80,cellular,success,9,True,2
81,telephone,success,8,True,1
82,cellular,failure,21,True,2
83,cellular,failure,11,True,3
84,cellular,success,10,True,2
85,cellular,failure,17,True,3
86,cellular,success,6,True,4
87,cellular,success,11,True,2
88,cellular,success,3,True,4
89,cellular,success,12,True,2
90,telephone,success,7,True,2
91,cellular,failure,999,False,4
92,cellular,success,18,True,1
93,telephone,success,2,True,2
94,cellular,success,3,True,5
95,cellular,success,2,True,4
96,telephone,success,3,True,4
97,telephone,success,3,True,3
98,cellular,failure,18,True,2
99,cellular,success,7,True,3
100,telephone,success,1,True,1
101,cellular,failure,13,True,3
102,cellular,success,5,True,3
103,telephone,success,14,True,2
104,telephone,failure,6,True,3
105,cellular,success,4,True,4
106,cellular,success,22,True,1
107,cellular,success,14,True,2
108,cellular,success,10,True,3
109,cellular,failure,12,True,3
110,telephone,success,14,True,1
111,cellular,success,13,True,2
112,telephone,success,8,True,4
113,cellular,failure,25,True,2
114,cellular,success,26,True,1
115,cellular,failure,18,True,3
116,cellular,success,9,True,3
117,telephone,failure,999,False,4
118,cellular,success,0,True,3
119,cellular,failure,16,True,3
120,telephone,success,0,True,5
121,cellular,failure,17,True,2
122,cellular,success,0,True,2
123,cellular,success,17,True,1
124,cellular,failure,9,True,4
125,cellular,success,3,True,6
126,cellular,failure,999,False,5
127,cellular,failure,4,True,3
128,cellular,failure,999,False,6
129,telephone,failure,12,True,4
130,cellular,success,6,True,5
131,telephone,failure,9,True,3
132,telephone,success,22,True,1
133,telephone,success,0,True,4
134,cellular,failure,17,True,4
135,cellular,success,17,True,2
136,telephone,success,9,True,3
137,cellular,success,7,True,4
138,telephone,failure,12,True,2
139,cellular,success,8,True,2
140,telephone,success,18,True,1
141,cellular,failure,15,True,4
142,cellular,success,19,True,1
143,cellular,success,27,True,1
144,cellular,failure,14,True,4
145,cellular,failure,14,True,3
146,cellular,failure,20,True,4
147,cellular,failure,10,True,3
148,telephone,success,10,True,3
149,telephone,success,16,True,1
150,telephone,success,11,True,2
151,cellular,success,5,True,5
152,cellular,success,11,True,4
153,cellular,success,3,True,7
154,telephone,success,13,True,2
155,cellular,success,2,True,5
156,cellular,failure,19,True,2
157,cellular,success,1,True,4
158,cellular,failure,21,True,5
159,telephone,failure,10,True,4
160,cellular,success,9,True,4
161,cellular,success,1,True,6
