customer_profile_key,age,age_bracket,job,marital_status,education,has_credit_default,has_housing_loan,has_personal_loan
1,56,56-65,housemaid,married,basic.4y,no,no,no
2,57,56-65,services,married,high.school,unknown,no,no
3,37,36-45,services,married,high.school,no,yes,no
4,40,36-45,admin.,married,basic.6y,no,no,no
5,56,56-65,services,married,high.school,no,no,yes
6,45,36-45,services,married,basic.9y,unknown,no,no
7,59,56-65,admin.,married,professional.course,no,no,no
8,41,36-45,blue-collar,married,unknown,unknown,no,no
9,24,18-25,technician,single,professional.course,no,yes,no
10,25,18-25,services,single,high.school,no,yes,no
11,29,26-35,blue-collar,single,high.school,no,no,yes
12,57,56-65,housemaid,divorced,basic.4y,no,yes,no
13,35,26-35,blue-collar,married,basic.6y,no,yes,no
14,54,46-55,retired,married,basic.9y,unknown,yes,yes
15,46,46-55,blue-collar,married,basic.6y,unknown,yes,yes
16,50,46-55,blue-collar,married,basic.9y,no,yes,yes
17,39,36-45,management,single,basic.9y,unknown,no,no
18,30,26-35,unemployed,married,high.school,no,no,no
19,55,46-55,blue-collar,married,basic.4y,unknown,yes,no
20,55,46-55,retired,single,high.school,no,yes,no
21,41,36-45,technician,single,high.school,no,yes,no
22,37,36-45,admin.,married,high.school,no,yes,no
23,35,26-35,technician,married,university.degree,no,no,yes
24,59,56-65,technician,married,unknown,no,yes,no
25,39,36-45,self-employed,married,basic.9y,unknown,no,no
26,54,46-55,technician,single,university.degree,unknown,no,no
27,55,46-55,unknown,married,university.degree,unknown,unknown,unknown
28,46,46-55,admin.,married,unknown,no,no,no
29,49,46-55,blue-collar,married,unknown,no,no,no
30,54,46-55,management,married,basic.4y,unknown,yes,no
31,54,46-55,blue-collar,divorced,basic.4y,no,no,no
32,55,46-55,unknown,married,basic.4y,unknown,yes,no
33,34,26-35,services,married,high.school,no,no,no
34,52,46-55,technician,married,basic.9y,no,yes,no
35,41,36-45,admin.,married,university.degree,no,yes,no
36,56,56-65,technician,married,basic.4y,no,yes,no
37,58,56-65,management,unknown,university.degree,no,yes,no
38,32,26-35,entrepreneur,married,high.school,no,yes,no
39,38,36-45,admin.,single,professional.course,no,no,no
40,57,56-65,admin.,married,university.degree,no,no,yes
41,44,36-45,admin.,married,university.degree,unknown,yes,no
42,42,36-45,technician,single,professional.course,unknown,no,no
43,57,56-65,admin.,married,university.degree,no,yes,yes
44,40,36-45,blue-collar,married,basic.9y,no,no,yes
45,35,26-35,admin.,married,university.degree,no,yes,no
46,45,36-45,blue-collar,married,basic.9y,no,yes,no
47,54,46-55,admin.,married,high.school,no,no,no
48,39,36-45,housemaid,married,basic.4y,no,no,yes
49,60,56-65,admin.,married,high.school,no,no,no
50,53,46-55,admin.,single,professional.course,no,no,no
51,55,46-55,blue-collar,married,basic.4y,unknown,no,no
52,55,46-55,technician,married,professional.course,unknown,yes,no
53,50,46-55,management,married,university.degree,unknown,no,yes
54,45,36-45,services,married,high.school,unknown,yes,no
55,55,46-55,unemployed,married,professional.course,unknown,yes,yes
56,25,18-25,technician,single,university.degree,no,yes,no
