economic_context_key,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed
1,1.1,93.994,-36.4,4.857,5191.0
2,1.1,93.994,-36.4,4.856,5191.0
3,1.1,93.994,-36.4,4.855,5191.0
4,1.1,93.994,-36.4,4.859,5191.0
5,1.1,93.994,-36.4,4.86,5191.0
6,1.1,93.994,-36.4,4.858,5191.0
7,1.1,93.994,-36.4,4.864,5191.0
8,1.4,94.465,-41.8,4.865,5228.1
9,1.4,94.465,-41.8,4.864,5228.1
10,1.4,94.465,-41.8,4.866,5228.1
11,1.4,94.465,-41.8,4.967,5228.1
12,1.4,94.465,-41.8,4.961,5228.1
13,1.4,94.465,-41.8,4.959,5228.1
14,1.4,94.465,-41.8,4.958,5228.1
15,1.4,94.465,-41.8,4.96,5228.1
16,1.4,94.465,-41.8,4.962,5228.1
17,1.4,94.465,-41.8,4.955,5228.1
18,1.4,94.465,-41.8,4.947,5228.1
19,1.4,93.918,-42.7,4.955,5228.1
20,1.4,93.918,-42.7,4.956,5228.1
21,1.4,93.918,-42.7,4.966,5228.1
22,1.4,93.918,-42.7,4.959,5228.1
23,1.4,93.918,-42.7,4.96,5228.1
24,1.4,93.918,-42.7,4.962,5228.1
25,1.4,93.918,-42.7,4.963,5228.1
26,1.4,93.918,-42.7,4.961,5228.1
27,1.4,93.918,-42.7,4.957,5228.1
28,1.4,93.918,-42.7,4.958,5228.1
29,1.4,93.918,-42.7,4.968,5228.1
30,1.4,93.444,-36.1,4.97,5228.1
31,1.4,93.444,-36.1,4.968,5228.1
32,1.4,93.444,-36.1,4.967,5228.1
33,1.4,93.444,-36.1,4.966,5228.1
34,1.4,93.444,-36.1,4.965,5228.1
35,1.4,93.444,-36.1,4.964,5228.1
36,1.4,93.444,-36.1,4.963,5228.1
37,1.4,93.444,-36.1,4.962,5228.1
38,-0.1,93.798,-40.4,5.045,5195.8
39,-0.1,93.798,-40.4,5.0,5195.8
40,-0.1,93.798,-40.4,4.968,5195.8
41,-0.1,93.798,-40.4,4.936,5195.8
42,-0.1,93.798,-40.4,4.921,5195.8
43,-0.1,93.798,-40.4,4.918,5195.8
44,-0.1,93.798,-40.4,4.912,5195.8
45,-0.1,93.798,-40.4,4.86,5195.8
46,-0.1,93.798,-40.4,4.827,5195.8
47,-0.1,93.798,-40.4,4.794,5195.8
48,-0.1,93.798,-40.4,4.76,5195.8
49,-0.1,93.2,-42.0,4.733,5195.8
50,-0.1,93.2,-42.0,4.7,5195.8
51,-0.1,93.2,-42.0,4.663,5195.8
52,-0.1,93.2,-42.0,4.592,5195.8
53,-0.1,93.2,-42.0,4.474,5195.8
54,-0.1,93.2,-42.0,4.406,5195.8
55,-0.1,93.2,-42.0,4.343,5195.8
56,-0.1,93.2,-42.0,4.286,5195.8
57,-0.1,93.2,-42.0,4.245,5195.8
58,-0.1,93.2,-42.0,4.223,5195.8
59,-0.1,93.2,-42.0,4.191,5195.8
60,-0.1,93.2,-42.0,4.153,5195.8
61,-0.1,93.2,-42.0,4.12,5195.8
62,-0.1,93.2,-42.0,4.076,5195.8
63,-0.1,93.2,-42.0,4.021,5195.8
64,-0.1,93.2,-42.0,3.901,5195.8
65,-0.1,93.2,-42.0,3.879,5195.8
66,-0.1,93.2,-42.0,3.853,5195.8
67,-0.2,92.756,-45.9,3.816,5176.3
68,-0.2,92.756,-45.9,3.743,5176.3
69,-0.2,92.756,-45.9,3.669,5176.3
70,-0.2,92.756,-45.9,3.563,5176.3
71,-0.2,92.756,-45.9,3.488,5176.3
72,-0.2,92.756,-45.9,3.428,5176.3
73,-0.2,92.756,-45.9,3.329,5176.3
74,-0.2,92.756,-45.9,3.282,5176.3
75,-0.2,92.756,-45.9,3.053,5176.3
76,-1.8,92.843,-50.0,1.811,5099.1
77,-1.8,92.843,-50.0,1.799,5099.1
78,-1.8,92.843,-50.0,1.778,5099.1
79,-1.8,92.843,-50.0,1.757,5099.1
80,-1.8,92.843,-50.0,1.726,5099.1
81,-1.8,92.843,-50.0,1.703,5099.1
82,-1.8,92.843,-50.0,1.687,5099.1
83,-1.8,92.843,-50.0,1.663,5099.1
84,-1.8,92.843,-50.0,1.65,5099.1
85,-1.8,92.843,-50.0,1.64,5099.1
86,-1.8,92.843,-50.0,1.629,5099.1
87,-1.8,92.843,-50.0,1.614,5099.1
88,-1.8,92.843,-50.0,1.602,5099.1
89,-1.8,92.843,-50.0,1.584,5099.1
90,-1.8,92.843,-50.0,1.574,5099.1
91,-1.8,92.843,-50.0,1.56,5099.1
92,-1.8,92.843,-50.0,1.556,5099.1
93,-1.8,92.843,-50.0,1.548,5099.1
94,-1.8,92.843,-50.0,1.538,5099.1
95,-1.8,92.843,-50.0,1.531,5099.1
96,-1.8,92.843,-50.0,1.52,5099.1
97,-1.8,92.843,-50.0,1.51,5099.1
98,-1.8,93.075,-47.1,1.498,5099.1
99,-1.8,93.075,-47.1,1.483,5099.1
100,-1.8,93.075,-47.1,1.479,5099.1
101,-1.8,93.075,-47.1,1.466,5099.1
102,-1.8,93.075,-47.1,1.453,5099.1
103,-1.8,93.075,-47.1,1.445,5099.1
104,-1.8,93.075,-47.1,1.435,5099.1
105,-1.8,93.075,-47.1,1.423,5099.1
106,-1.8,93.075,-47.1,1.415,5099.1
107,-1.8,93.075,-47.1,1.41,5099.1
108,-1.8,93.075,-47.1,1.405,5099.1
109,-1.8,93.075,-47.1,1.406,5099.1
110,-1.8,93.075,-47.1,1.4,5099.1
111,-1.8,93.075,-47.1,1.392,5099.1
112,-1.8,93.075,-47.1,1.384,5099.1
113,-1.8,93.075,-47.1,1.372,5099.1
114,-1.8,93.075,-47.1,1.365,5099.1
115,-1.8,92.893,-46.2,1.354,5099.1
116,-1.8,92.893,-46.2,1.344,5099.1
117,-1.8,92.893,-46.2,1.334,5099.1
118,-1.8,92.893,-46.2,1.327,5099.1
119,-1.8,92.893,-46.2,1.313,5099.1
120,-1.8,92.893,-46.2,1.299,5099.1
121,-1.8,92.893,-46.2,1.291,5099.1
122,-1.8,92.893,-46.2,1.281,5099.1
123,-1.8,92.893,-46.2,1.266,5099.1
124,-1.8,92.893,-46.2,1.25,5099.1
125,-1.8,92.893,-46.2,1.244,5099.1
126,-1.8,92.893,-46.2,1.259,5099.1
127,-1.8,92.893,-46.2,1.264,5099.1
128,-1.8,92.893,-46.2,1.27,5099.1
129,-2.9,92.963,-40.8,1.266,5076.2
130,-2.9,92.963,-40.8,1.262,5076.2
131,-2.9,92.963,-40.8,1.26,5076.2
132,-2.9,92.963,-40.8,1.268,5076.2
133,-2.9,92.963,-40.8,1.281,5076.2
134,-2.9,92.963,-40.8,1.286,5076.2
135,-2.9,92.963,-40.8,1.252,5076.2
136,-2.9,92.963,-40.8,1.244,5076.2
137,-2.9,92.963,-40.8,1.235,5076.2
138,-2.9,92.963,-40.8,1.224,5076.2
139,-2.9,92.963,-40.8,1.215,5076.2
140,-2.9,92.963,-40.8,1.206,5076.2
141,-2.9,92.963,-40.8,1.099,5076.2
142,-2.9,92.469,-33.6,1.085,5076.2
143,-2.9,92.469,-33.6,1.072,5076.2
144,-2.9,92.469,-33.6,1.059,5076.2
145,-2.9,92.469,-33.6,1.048,5076.2
146,-2.9,92.469,-33.6,1.044,5076.2
147,-2.9,92.469,-33.6,1.029,5076.2
148,-2.9,92.469,-33.6,1.018,5076.2
149,-2.9,92.469,-33.6,1.007,5076.2
150,-2.9,92.469,-33.6,0.996,5076.2
151,-2.9,92.469,-33.6,0.979,5076.2
152,-2.9,92.469,-33.6,0.969,5076.2
153,-2.9,92.469,-33.6,0.944,5076.2
154,-2.9,92.469,-33.6,0.937,5076.2
155,-2.9,92.469,-33.6,0.933,5076.2
156,-2.9,92.469,-33.6,0.927,5076.2
157,-2.9,92.469,-33.6,0.921,5076.2
158,-2.9,92.469,-33.6,0.914,5076.2
159,-2.9,92.469,-33.6,0.908,5076.2
160,-2.9,92.469,-33.6,0.903,5076.2
161,-2.9,92.469,-33.6,0.899,5076.2
162,-2.9,92.201,-31.4,0.884,5076.2
163,-2.9,92.201,-31.4,0.883,5076.2
164,-2.9,92.201,-31.4,0.881,5076.2
165,-2.9,92.201,-31.4,0.879,5076.2
166,-2.9,92.201,-31.4,0.873,5076.2
167,-2.9,92.201,-31.4,0.869,5076.2
168,-2.9,92.201,-31.4,0.861,5076.2
169,-2.9,92.201,-31.4,0.859,5076.2
170,-2.9,92.201,-31.4,0.854,5076.2
171,-2.9,92.201,-31.4,0.851,5076.2
172,-2.9,92.201,-31.4,0.849,5076.2
173,-2.9,92.201,-31.4,0.843,5076.2
174,-2.9,92.201,-31.4,0.838,5076.2
175,-2.9,92.201,-31.4,0.834,5076.2
176,-2.9,92.201,-31.4,0.829,5076.2
177,-2.9,92.201,-31.4,0.825,5076.2
178,-2.9,92.201,-31.4,0.821,5076.2
179,-3.4,92.379,-29.8,0.819,5017.5
180,-3.4,92.379,-29.8,0.813,5017.5
181,-3.4,92.379,-29.8,0.809,5017.5
182,-3.4,92.379,-29.8,0.803,5017.5
183,-3.4,92.379,-29.8,0.797,5017.5
184,-3.4,92.379,-29.8,0.788,5017.5
185,-3.4,92.379,-29.8,0.781,5017.5
186,-3.4,92.379,-29.8,0.778,5017.5
187,-3.4,92.379,-29.8,0.773,5017.5
188,-3.4,92.379,-29.8,0.771,5017.5
189,-3.4,92.379,-29.8,0.77,5017.5
190,-3.4,92.379,-29.8,0.768,5017.5
191,-3.4,92.379,-29.8,0.766,5017.5
192,-3.4,92.379,-29.8,0.762,5017.5
193,-3.4,92.379,-29.8,0.755,5017.5
194,-3.4,92.379,-29.8,0.749,5017.5
195,-3.4,92.379,-29.8,0.743,5017.5
196,-3.4,92.379,-29.8,0.741,5017.5
197,-3.4,92.379,-29.8,0.739,5017.5
198,-3.4,92.379,-29.8,0.75,5017.5
199,-3.4,92.379,-29.8,0.753,5017.5
200,-3.4,92.431,-26.9,0.754,5017.5
201,-3.4,92.431,-26.9,0.752,5017.5
202,-3.4,92.431,-26.9,0.744,5017.5
203,-3.4,92.431,-26.9,0.74,5017.5
204,-3.4,92.431,-26.9,0.741,5017.5
205,-3.4,92.431,-26.9,0.743,5017.5
206,-3.4,92.431,-26.9,0.742,5017.5
207,-3.4,92.431,-26.9,0.739,5017.5
208,-3.4,92.431,-26.9,0.737,5017.5
209,-3.4,92.431,-26.9,0.735,5017.5
210,-3.4,92.431,-26.9,0.733,5017.5
211,-3.4,92.431,-26.9,0.73,5017.5
212,-3.4,92.431,-26.9,0.731,5017.5
213,-3.4,92.431,-26.9,0.728,5017.5
214,-3.4,92.431,-26.9,0.724,5017.5
215,-3.4,92.431,-26.9,0.722,5017.5
216,-3.4,92.431,-26.9,0.72,5017.5
217,-3.4,92.649,-30.1,0.722,5017.5
218,-3.4,92.649,-30.1,0.72,5017.5
219,-3.4,92.649,-30.1,0.719,5017.5
220,-3.4,92.649,-30.1,0.716,5017.5
221,-3.4,92.649,-30.1,0.715,5017.5
222,-3.4,92.649,-30.1,0.714,5017.5
223,-3.4,92.649,-30.1,0.718,5017.5
224,-3.0,92.713,-33.0,0.721,5023.5
225,-3.0,92.713,-33.0,0.72,5023.5
226,-3.0,92.713,-33.0,0.718,5023.5
227,-3.0,92.713,-33.0,0.717,5023.5
228,-3.0,92.713,-33.0,0.715,5023.5
229,-3.0,92.713,-33.0,0.714,5023.5
230,-3.0,92.713,-33.0,0.712,5023.5
231,-3.0,92.713,-33.0,0.71,5023.5
232,-3.0,92.713,-33.0,0.709,5023.5
233,-3.0,92.713,-33.0,0.708,5023.5
234,-3.0,92.713,-33.0,0.706,5023.5
235,-3.0,92.713,-33.0,0.707,5023.5
236,-3.0,92.713,-33.0,0.7,5023.5
237,-1.8,93.369,-34.8,0.655,5008.7
238,-1.8,93.369,-34.8,0.654,5008.7
239,-1.8,93.369,-34.8,0.653,5008.7
240,-1.8,93.369,-34.8,0.652,5008.7
241,-1.8,93.369,-34.8,0.651,5008.7
242,-1.8,93.369,-34.8,0.65,5008.7
243,-1.8,93.369,-34.8,0.649,5008.7
244,-1.8,93.369,-34.8,0.646,5008.7
245,-1.8,93.369,-34.8,0.644,5008.7
246,-1.8,93.369,-34.8,0.643,5008.7
247,-1.8,93.369,-34.8,0.639,5008.7
248,-1.8,93.369,-34.8,0.637,5008.7
249,-1.8,93.369,-34.8,0.635,5008.7
250,-1.8,93.369,-34.8,0.636,5008.7
251,-1.8,93.369,-34.8,0.634,5008.7
252,-1.8,93.749,-34.6,0.635,5008.7
253,-1.8,93.749,-34.6,0.638,5008.7
254,-1.8,93.749,-34.6,0.639,5008.7
255,-1.8,93.749,-34.6,0.64,5008.7
256,-1.8,93.749,-34.6,0.642,5008.7
257,-1.8,93.749,-34.6,0.644,5008.7
258,-1.8,93.749,-34.6,0.643,5008.7
259,-1.8,93.749,-34.6,0.645,5008.7
260,-1.8,93.749,-34.6,0.646,5008.7
261,-1.8,93.749,-34.6,0.654,5008.7
262,-1.8,93.749,-34.6,0.659,5008.7
263,-1.8,93.749,-34.6,0.663,5008.7
264,-1.8,93.876,-40.0,0.668,5008.7
265,-1.8,93.876,-40.0,0.672,5008.7
266,-1.8,93.876,-40.0,0.677,5008.7
267,-1.8,93.876,-40.0,0.682,5008.7
268,-1.8,93.876,-40.0,0.683,5008.7
269,-1.8,93.876,-40.0,0.684,5008.7
270,-1.8,93.876,-40.0,0.685,5008.7
271,-1.8,93.876,-40.0,0.688,5008.7
272,-1.8,93.876,-40.0,0.69,5008.7
273,-1.8,93.876,-40.0,0.692,5008.7
274,-1.8,93.876,-40.0,0.695,5008.7
275,-1.8,93.876,-40.0,0.697,5008.7
276,-1.8,93.876,-40.0,0.699,5008.7
277,-1.8,93.876,-40.0,0.701,5008.7
278,-1.7,94.055,-39.8,0.702,4991.6
279,-1.7,94.055,-39.8,0.704,4991.6
280,-1.7,94.055,-39.8,0.707,4991.6
281,-1.7,94.055,-39.8,0.711,4991.6
282,-1.7,94.055,-39.8,0.713,4991.6
283,-1.7,94.055,-39.8,0.715,4991.6
284,-1.7,94.055,-39.8,0.719,4991.6
285,-1.7,94.055,-39.8,0.72,4991.6
286,-1.7,94.055,-39.8,0.723,4991.6
287,-1.7,94.055,-39.8,0.727,4991.6
288,-1.7,94.055,-39.8,0.729,4991.6
289,-1.7,94.055,-39.8,0.732,4991.6
290,-1.7,94.055,-39.8,0.733,4991.6
291,-1.7,94.055,-39.8,0.737,4991.6
292,-1.7,94.055,-39.8,0.739,4991.6
293,-1.7,94.055,-39.8,0.742,4991.6
294,-1.7,94.055,-39.8,0.748,4991.6
295,-1.7,94.055,-39.8,0.754,4991.6
296,-1.7,94.055,-39.8,0.761,4991.6
297,-1.7,94.055,-39.8,0.767,4991.6
298,-1.7,94.215,-40.3,0.782,4991.6
299,-1.7,94.215,-40.3,0.79,4991.6
300,-1.7,94.215,-40.3,0.793,4991.6
301,-1.7,94.215,-40.3,0.797,4991.6
302,-1.7,94.215,-40.3,0.802,4991.6
303,-1.7,94.215,-40.3,0.81,4991.6
304,-1.7,94.215,-40.3,0.822,4991.6
305,-1.7,94.215,-40.3,0.827,4991.6
306,-1.7,94.215,-40.3,0.835,4991.6
307,-1.7,94.215,-40.3,0.84,4991.6
308,-1.7,94.215,-40.3,0.846,4991.6
309,-1.7,94.215,-40.3,0.861,4991.6
310,-1.7,94.215,-40.3,0.87,4991.6
311,-1.7,94.215,-40.3,0.876,4991.6
312,-1.7,94.215,-40.3,0.881,4991.6
313,-1.7,94.215,-40.3,0.884,4991.6
314,-1.7,94.215,-40.3,0.885,4991.6
315,-1.7,94.215,-40.3,0.889,4991.6
316,-1.7,94.215,-40.3,0.893,4991.6
317,-1.7,94.215,-40.3,0.896,4991.6
318,-1.7,94.215,-40.3,0.899,4991.6
319,-1.7,94.027,-38.3,0.898,4991.6
320,-1.7,94.027,-38.3,0.899,4991.6
321,-1.7,94.027,-38.3,0.9,4991.6
322,-1.7,94.027,-38.3,0.904,4991.6
323,-1.7,94.027,-38.3,0.905,4991.6
324,-1.7,94.027,-38.3,0.903,4991.6
325,-1.7,94.027,-38.3,0.896,4991.6
326,-1.7,94.027,-38.3,0.895,4991.6
327,-1.7,94.027,-38.3,0.894,4991.6
328,-1.7,94.027,-38.3,0.891,4991.6
329,-1.7,94.027,-38.3,0.89,4991.6
330,-1.7,94.027,-38.3,0.889,4991.6
331,-1.7,94.027,-38.3,0.888,4991.6
332,-1.7,94.027,-38.3,0.886,4991.6
333,-1.1,94.199,-37.5,0.886,4963.6
334,-1.1,94.199,-37.5,0.884,4963.6
